,reviews
0,"Terrible customer Service 🤬, not a good experience in the branch either and the people who work there.I opened an All inclusive account and applied for a credit card which took them almost 1.5 months to dispatch from the date of approval 🙄.When I called the branch person, said its problem with Credit card team & delays from Canada post. But when I call the credit card department they said its problem with the branch who did not submitted my application and holded for atleast a month from the date of approval. I don’t know whom to blame here and even they do not have a good process to provide complaints like these so that they can work on fixing them. Probably they don’t want to improve there customer experience 😜I am closing all my accounts with TD and recommend others to think alot before opening one. GOOD LUCK !!"
1,"Don't bank with them, worst bank ever who don't treat their customers right during difficult times like these. Been almost 20 years with them but they don't value me for a mere $29.95 fees mistake that is clearly unintended. Already closed one account and as soon I find another bank, I am moving as soon as possible."
2,"On May 21 2020 I deposited $700 (new $20 bills) into the ATM inside on the left. The machine gave me a $280.00 deposit slip printout. I went inside to have a manager look into this as I was crying and upset. I have been with them for 3 years. The teller deposited $420 into my account. I had a portion to pay of my overdraft. I was told they would open an investigation. May 25 2020 $420 was withdrawn from my account. I went in and spoke to them and they said my claim was denied. I asked for a sit down with the management and did not get that. Please do not load new bills into their ATM machine! I have not received any emails, calls or anything from them. I did get a email from the TD obudsman asking me to sign papers so they investigate my claim and I am to accept their final decision. I am on disability and $300 was from the extra money from the government for people on disability. It was taken from me. I contacted the MLA, financial services, TD Bank fraud department (supposed claim that does not exist), news, complaint department, etc. No one will listen Where is video of me putting money in? Where is the $420 that exceeded the ATM machine funds for May 21 2020. Even if you need service, do not use their atm, watch your bank statements and consider changing banks please. Update: they closed my claim and I was basically called a lier"
3,"WORST BANK EVER.  DON'T EVER BANK WITH THEM.  HORRIBLE CUSTOMER SERVICE, CHARGES FOR EVERYTHING. CROOKS"
4,"They used to be great for students like me before COVID-19 although I had noticed some issues like them hiking up balance protection tax to 6$ a month (unacceptable given you're covered by visa). They used to be quite convenient. The COVID-19 saw them reduce hours, be unreachable by phone. I went to buy a used car from a garage and was on the phone for 45min with no answer to up my limit; I had to call a family member to pay and it took me 2days of e-transfers to pay them back. I recently tried to buy something online and got a hold placed (but the bank didn't inform me) and since you can't reach them by phone, you have to go to a branch. They're no longer reliable, I can't seem to make purchases above 150$ without them blocking me by placing holds (this isn't regularly the case but twice in the summer and 3 times in a year is a bit much. Also, the people answering the phone for ""loss and prevention"" can be rude and impatient; it takes me 2 min to open up easy access and I said I'm sorry for being slow, don't rush me :/. Worst part is they answered the phone immediately when they saw they could make a quick 500$ on car insurance (I didn't go with them). This shows that customer service for your daily banking isn't the priority, sales are.I'll end this on a positive note: the teller's are often quite nice. (This review is more geared towards TD values and it's corporate priorities/decrease in quality.)"
5,"I’ve been trying to reach agents for 5 days and I still can’t get a hold of someone at TD. When I do get a hold of someone, they transfer me from one person to another and each one knows less then the other. They automatically stopped my payments towards a loan I have with them and they’re taking no responsibility for what they did, they’re arrogant and Self righteous, I suppose TD’s core values are treat every customer as if they’re insignificant and terrible. All I want to do is pay off my loan and these people have made it into the most hideous experience imaginable. Don’t ever go with this bank because they will drag your credit score In the mud even though you’ve always paid off multiple loans on time and in complete. The worst bank and worst core value and very aggressive agents who have the my way or the high way attitude. Just save yourself the trouble and go with a different bank."
6,"I called TD insurance regarding an emergency matter, I waited for 1hr12min and no one answered. I don't know what to say but I know that I will cancel my insurance policy with them.* I have proof of that"
7,Due to Corona they close all branches in my city . 4 months goes by before they even allow access to my money . They then flag my account for doing to much business in a month . Ruined my credit with visa . Closed my account . Td Canada trust are crooked as they come if they can’t make enough money off you they’ll close your account for no reason . Hope they’re ready for lawsuit .
8,I will say have been a customer since Canada Trust was its own bank but have noticed in the last year TD Canada Trust don't care about there customers only about them selfs they do anything to get money out of you charges here charges there will say TD Canada Trust Sucks
9,The worst custumer service I had!!Their validations rules are ridiculous. You have to have open your online banking to answer their questions!! and even worse they says that the answers are incorrect and block your account!!!Is very difficult to use their debits cards outside US
